index,Size,Fluo,Clarity,Cut,Polish,Symmetry,D,E,F,G,H,I,J,K,L,M
865,0.40-0.44,None,SI2,VG,GD,EX,-51.0,-53.0,-51.0,-48,-45,-44,-45,-43,-41,-43
866,0.40-0.44,None,SI2,VG,GD,EX,-51.0,-53.0,-51.0,-48,-45,-44,-45,-43,-41,-43
867,0.40-0.44,None,VS1,VG,GD,EX,-48.0,-46.0,-45.0,-43,-42,-50,-48,-48,-49,-49
868,0.40-0.44,None,VS1,VG,GD,EX,-48.0,-46.0,-45.0,-43,-42,-50,-48,-48,-49,-49
869,0.40-0.44,None,VS2,VG,GD,EX,-49.0,-50.0,-48.0,-45,-42,-50,-47,-48,-50,-47
870,0.40-0.44,None,VS2,VG,GD,EX,-49.0,-50.0,-48.0,-45,-42,-50,-47,-48,-50,-47
871,0.40-0.44,None,VVS1,VG,GD,EX,-42.0,-38.0,-39.0,-41,-42,-48,-49,-50,-45,-48
872,0.40-0.44,None,VVS1,VG,GD,EX,-42.0,-38.0,-39.0,-41,-42,-48,-49,-50,-45,-48
873,0.40-0.44,None,VVS2,VG,GD,EX,-46.0,-44.0,-42.0,-42,-43,-50,-49,-51,-51,-50
874,0.40-0.44,None,VVS2,VG,GD,EX,-46.0,-44.0,-42.0,-42,-43,-50,-49,-51,-51,-50
875,0.45-0.49,None,IF,VG,GD,EX,-41.0,-34.0,-31.0,-31,-34,-37,-35,-49,-43,-41
876,0.45-0.49,None,SI1,VG,GD,EX,-45.0,-42.0,-41.0,-39,-36,-39,-40,-40,-40,-45
877,0.45-0.49,None,SI2,VG,GD,EX,-51.0,-50.0,-47.0,-44,-40,-40,-40,-40,-39,-47
878,0.45-0.49,None,VS1,VG,GD,EX,-43.0,-40.0,-38.0,-35,-36,-41,-43,-41,-43,-45
879,0.45-0.49,None,VS2,VG,GD,EX,-39.0,-43.0,-41.0,-38,-34,-39,-40,-41,-41,-45
880,0.45-0.49,None,VVS1,VG,GD,EX,-37.0,-32.0,-31.0,-34,-35,-42,-39,-46,-41,-42
881,0.45-0.49,None,VVS2,VG,GD,EX,-44.0,-41.0,-37.0,-35,-36,-41,-45,-45,-44,-50
882,0.50-0.59,None,IF,VG,GD,EX,-57.0,-51.0,-50.0,-49,-54,-53,-48,-47,-48,-47
883,0.50-0.59,None,SI1,VG,GD,EX,-57.0,-60.0,-59.0,-56,-53,-53,-52,-51,-49,-51
884,0.50-0.59,None,SI2,VG,GD,EX,-56.0,-59.0,-58.0,-56,-55,-56,-52,-52,-49,-46
885,0.50-0.59,None,VS1,VG,GD,EX,-57.0,-57.0,-57.0,-54,-54,-52,-49,-50,-48,-48
886,0.50-0.59,None,VS2,VG,GD,EX,-58.0,-59.0,-58.0,-55,-54,-52,-51,-53,-47,-48
887,0.50-0.59,None,VVS1,VG,GD,EX,-57.0,-50.0,-50.0,-50,-54,-54,-50,-47,-47,-49
888,0.50-0.59,None,VVS2,VG,GD,EX,-61.0,-57.0,-55.0,-52,-53,-53,-51,-51,-46,-49
889,0.70-0.74,None,IF,VG,GD,EX,-49.0,-45.0,-41.0,-46,-52,-49,-47,-47,-42,-45
890,0.70-0.74,None,SI1,VG,GD,EX,-55.0,-54.0,-50.0,-49,-48,-47,-45,-44,-47,-50
891,0.70-0.74,None,SI2,VG,GD,EX,-55.0,-55.0,-54.0,-53,-50,-47,-47,-49,-47,-51
892,0.70-0.74,None,VS1,VG,GD,EX,-50.0,-51.0,-50.0,-46,-51,-45,-44,-45,-47,-53
893,0.70-0.74,None,VS2,VG,GD,EX,-54.0,-52.0,-51.0,-50,-49,-48,-46,-48,-48,-52
894,0.70-0.74,None,VVS1,VG,GD,EX,-45.0,-45.0,-40.0,-47,-51,-49,-46,-44,-47,-46
895,0.70-0.74,None,VVS2,VG,GD,EX,-50.0,-48.0,-45.0,-48,-52,-48,-46,-47,-46,-51
896,0.75-0.79,None,IF,VG,GD,EX,-42.0,-38.0,-36.0,-40,-46,-45,-43,-40,-41,-42
897,0.75-0.79,None,SI1,VG,GD,EX,-49.0,-47.0,-47.0,-43,-42,-39,-37,-42,-39,-47
898,0.75-0.79,None,SI2,VG,GD,EX,-52.0,-49.0,-51.0,-47,-42,-43,-37,-43,-42,-43
899,0.75-0.79,None,VS1,VG,GD,EX,-44.0,-44.0,-45.0,-43,-45,-41,-39,-41,-40,-45
900,0.75-0.79,None,VS2,VG,GD,EX,-49.0,-51.0,-49.0,-46,-43,-40,-39,-41,-38,-47
