,Clarity,D,E,F,G,H,I,J,K,L,M,Cut,Polish,Symmetry,Fluo,Size
562,VVS2,-20,-18,-15,-15,-16,-21,-24,-23,-25,-31,EX,EX,EX,None,0.45-0.49
563,VS1,-20,-18,-17,-15,-17,-22,-25,-23,-25,-27,EX,EX,EX,None,0.45-0.49
564,VS2,-16,-21,-20,-18,-15,-20,-22,-23,-23,-24,EX,EX,EX,None,0.45-0.49
565,SI1,-23,-21,-21,-20,-18,-21,-22,-23,-23,-28,EX,EX,EX,None,0.45-0.49
566,SI2,-29,-27,-25,-25,-21,-22,-22,-23,-22,-27,EX,EX,EX,None,0.45-0.49
567,IF,-25,-18,-16,-18,-21,-20,-19,-28,-27,-25,EX,EX,EX,Faint,0.45-0.49
568,VVS1,-21,-16,-16,-20,-21,-24,-22,-25,-25,-26,EX,EX,EX,Faint,0.45-0.49
569,VVS2,-28,-25,-22,-22,-22,-24,-27,-26,-28,-34,EX,EX,EX,Faint,0.45-0.49
570,VS1,-27,-24,-23,-21,-22,-25,-28,-26,-28,-30,EX,EX,EX,Faint,0.45-0.49
571,VS2,-23,-27,-26,-24,-20,-23,-25,-26,-26,-27,EX,EX,EX,Faint,0.45-0.49
572,SI1,-29,-26,-26,-25,-22,-24,-25,-26,-26,-31,EX,EX,EX,Faint,0.45-0.49
573,SI2,-35,-32,-30,-30,-25,-25,-25,-26,-25,-30,EX,EX,EX,Faint,0.45-0.49
574,IF,-30,-24,-22,-24,-27,-27,-25,-33,-32,-30,EX,EX,EX,Med,0.45-0.49
575,VVS1,-26,-22,-22,-26,-27,-31,-28,-30,-30,-31,EX,EX,EX,Med,0.45-0.49
576,VVS2,-33,-31,-28,-28,-28,-31,-33,-31,-33,-39,EX,EX,EX,Med,0.45-0.49
577,VS1,-33,-30,-29,-26,-27,-31,-34,-32,-34,-36,EX,EX,EX,Med,0.45-0.49
578,VS2,-29,-33,-32,-29,-25,-29,-31,-32,-32,-33,EX,EX,EX,Med,0.45-0.49
579,SI1,-35,-32,-31,-30,-27,-29,-30,-30,-30,-35,EX,EX,EX,Med,0.45-0.49
580,SI2,-41,-38,-35,-35,-30,-30,-30,-30,-29,-34,EX,EX,EX,Med,0.45-0.49
581,IF,-39,-33,-31,-32,-36,-36,-34,-42,-41,-39,EX,EX,EX,Strong,0.45-0.49
582,VVS1,-35,-31,-31,-34,-36,-40,-37,-39,-39,-40,EX,EX,EX,Strong,0.45-0.49
583,VVS2,-42,-40,-37,-36,-37,-40,-42,-40,-42,-48,EX,EX,EX,Strong,0.45-0.49
584,VS1,-40,-37,-36,-33,-34,-38,-41,-39,-41,-43,EX,EX,EX,Strong,0.45-0.49
585,VS2,-36,-40,-39,-36,-32,-36,-38,-39,-39,-40,EX,EX,EX,Strong,0.45-0.49
586,SI1,-42,-39,-38,-37,-34,-36,-37,-37,-37,-42,EX,EX,EX,Strong,0.45-0.49
587,SI2,-48,-45,-42,-42,-37,-37,-37,-37,-36,-41,EX,EX,EX,Strong,0.45-0.49
588,IF,-44,-38,-36,-37,-41,-41,-39,-47,-46,-44,EX,EX,EX,Very Strong,0.45-0.49
589,VVS1,-40,-36,-36,-39,-41,-45,-42,-44,-44,-45,EX,EX,EX,Very Strong,0.45-0.49
590,VVS2,-47,-45,-42,-41,-42,-45,-47,-45,-47,-53,EX,EX,EX,Very Strong,0.45-0.49
591,VS1,-45,-42,-41,-38,-39,-43,-46,-44,-46,-48,EX,EX,EX,Very Strong,0.45-0.49
592,VS2,-41,-45,-44,-41,-37,-41,-43,-44,-44,-45,EX,EX,EX,Very Strong,0.45-0.49
593,SI1,-47,-44,-43,-42,-39,-41,-42,-42,-42,-47,EX,EX,EX,Very Strong,0.45-0.49
594,SI2,-53,-50,-47,-47,-42,-42,-42,-42,-41,-46,EX,EX,EX,Very Strong,0.45-0.49
595,IF,-45,-39,-37,-37,-41,-41,-38,-45,-44,-42,EX,DD,DD,Strong,0.45-0.49
596,VVS1,-41,-37,-37,-39,-41,-45,-41,-42,-42,-43,EX,DD,DD,Strong,0.45-0.49
597,VVS2,-48,-46,-43,-41,-42,-45,-46,-43,-45,-51,EX,DD,DD,Strong,0.45-0.49
598,VS1,-45,-42,-41,-38,-38,-42,-44,-42,-44,-46,EX,DD,DD,Strong,0.45-0.49
599,VS2,-41,-45,-44,-41,-36,-40,-41,-42,-42,-43,EX,DD,DD,Strong,0.45-0.49
600,SI1,-47,-44,-42,-41,-37,-39,-39,-39,-39,-44,EX,DD,DD,Strong,0.45-0.49
601,SI2,-53,-50,-46,-46,-40,-40,-39,-39,-38,-43,EX,DD,DD,Strong,0.45-0.49
602,IF,-23,-17,-15,-16,-20,-22,-20,-28,-27,-25,EX,DD,DD,None,0.45-0.49
603,VVS1,-19,-15,-15,-18,-20,-26,-23,-25,-25,-26,EX,DD,DD,None,0.45-0.49
604,VVS2,-26,-24,-21,-20,-21,-26,-28,-26,-28,-34,EX,DD,DD,None,0.45-0.49
605,VS1,-25,-23,-22,-20,-21,-26,-28,-26,-28,-30,EX,DD,DD,None,0.45-0.49
606,VS2,-21,-26,-25,-23,-19,-24,-25,-26,-26,-27,EX,DD,DD,None,0.45-0.49
607,SI1,-28,-26,-25,-24,-21,-24,-24,-25,-25,-30,EX,DD,DD,None,0.45-0.49
608,SI2,-34,-32,-29,-29,-24,-25,-24,-25,-24,-29,EX,DD,DD,None,0.45-0.49
609,IF,-31,-24,-22,-23,-26,-25,-23,-31,-30,-28,EX,DD,DD,Faint,0.45-0.49
610,VVS1,-27,-22,-22,-25,-26,-29,-26,-28,-28,-29,EX,DD,DD,Faint,0.45-0.49
611,VVS2,-34,-31,-28,-27,-27,-29,-31,-29,-31,-37,EX,DD,DD,Faint,0.45-0.49
612,VS1,-32,-29,-28,-26,-26,-29,-31,-29,-31,-33,EX,DD,DD,Faint,0.45-0.49
613,VS2,-28,-32,-31,-29,-24,-27,-28,-29,-29,-30,EX,DD,DD,Faint,0.45-0.49
614,SI1,-34,-31,-30,-29,-25,-27,-27,-28,-28,-33,EX,DD,DD,Faint,0.45-0.49
615,SI2,-40,-37,-34,-34,-28,-28,-27,-28,-27,-32,EX,DD,DD,Faint,0.45-0.49
616,IF,-36,-30,-28,-29,-32,-32,-29,-36,-35,-33,EX,DD,DD,Med,0.45-0.49
617,VVS1,-32,-28,-28,-31,-32,-36,-32,-33,-33,-34,EX,DD,DD,Med,0.45-0.49
618,VVS2,-39,-37,-34,-33,-33,-36,-37,-34,-36,-42,EX,DD,DD,Med,0.45-0.49
619,VS1,-38,-35,-34,-31,-31,-35,-37,-35,-37,-39,EX,DD,DD,Med,0.45-0.49
620,VS2,-34,-38,-37,-34,-29,-33,-34,-35,-35,-36,EX,DD,DD,Med,0.45-0.49
621,SI1,-40,-37,-35,-34,-30,-32,-32,-32,-32,-37,EX,DD,DD,Med,0.45-0.49
622,SI2,-46,-43,-39,-39,-33,-33,-32,-32,-31,-36,EX,DD,DD,Med,0.45-0.49
623,IF,-50,-44,-42,-42,-46,-46,-43,-50,-49,-47,EX,DD,DD,Very Strong,0.45-0.49
624,VVS1,-46,-42,-42,-44,-46,-50,-46,-47,-47,-48,EX,DD,DD,Very Strong,0.45-0.49
625,VVS2,-53,-51,-48,-46,-47,-50,-51,-48,-50,-56,EX,DD,DD,Very Strong,0.45-0.49
626,VS1,-50,-47,-46,-43,-43,-47,-49,-47,-49,-51,EX,DD,DD,Very Strong,0.45-0.49
627,VS2,-46,-50,-49,-46,-41,-45,-46,-47,-47,-48,EX,DD,DD,Very Strong,0.45-0.49
628,SI1,-52,-49,-47,-46,-42,-44,-44,-44,-44,-49,EX,DD,DD,Very Strong,0.45-0.49
629,SI2,-58,-55,-51,-51,-45,-45,-44,-44,-43,-48,EX,DD,DD,Very Strong,0.45-0.49
630,IF,-37,-29,-26,-27,-30,-32,-30,-39,-38,-36,VG,DD,DD,None,0.45-0.49
631,VVS1,-33,-27,-26,-29,-30,-36,-33,-36,-36,-37,VG,DD,DD,None,0.45-0.49
632,VVS2,-40,-36,-32,-31,-31,-36,-38,-37,-39,-45,VG,DD,DD,None,0.45-0.49
633,VS1,-38,-35,-33,-30,-31,-36,-38,-36,-38,-40,VG,DD,DD,None,0.45-0.49
634,VS2,-34,-38,-36,-33,-29,-34,-35,-36,-36,-37,VG,DD,DD,None,0.45-0.49
635,SI1,-40,-37,-36,-34,-31,-34,-35,-35,-35,-40,VG,DD,DD,None,0.45-0.49
636,SI2,-46,-43,-40,-39,-34,-35,-35,-35,-34,-39,VG,DD,DD,None,0.45-0.49
637,IF,-45,-36,-33,-34,-36,-35,-33,-42,-41,-39,VG,DD,DD,Faint,0.45-0.49
638,VVS1,-41,-34,-33,-36,-36,-39,-36,-39,-39,-40,VG,DD,DD,Faint,0.45-0.49
639,VVS2,-48,-43,-39,-38,-37,-39,-41,-40,-42,-48,VG,DD,DD,Faint,0.45-0.49
640,VS1,-45,-41,-39,-36,-36,-39,-41,-39,-41,-43,VG,DD,DD,Faint,0.45-0.49
641,VS2,-41,-44,-42,-39,-34,-37,-38,-39,-39,-40,VG,DD,DD,Faint,0.45-0.49
642,SI1,-46,-42,-41,-39,-35,-37,-38,-38,-38,-43,VG,DD,DD,Faint,0.45-0.49
