,Clarity,D,E,F,G,H,I,J,K,L,M,Cut,Polish,Symmetry,Fluo,Size
18,VS2,-49,-49,-46,-43,-43,-46,-44,-40,-41,-39,EX,EX,EX,Med,0.30-0.34
19,SI1,-49,-50,-48,-44,-41,-42,-41,-41,-39,-37,EX,EX,EX,Med,0.30-0.34
20,SI2,-49,-51,-47,-42,-41,-43,-39,-43,-41,-37,EX,EX,EX,Med,0.30-0.34
21,IF,-52,-47,-46,-51,-53,-53,-52,-52,-47,-47,EX,EX,EX,Strong,0.30-0.34
22,VVS1,-49,-45,-44,-48,-51,-51,-51,-50,-46,-52,EX,EX,EX,Strong,0.30-0.34
23,VVS2,-50,-49,-48,-48,-50,-52,-52,-49,-46,-50,EX,EX,EX,Strong,0.30-0.34
24,VS1,-48,-51,-49,-47,-47,-49,-48,-46,-45,-45,EX,EX,EX,Strong,0.30-0.34
25,VS2,-52,-52,-50,-47,-46,-50,-48,-45,-46,-44,EX,EX,EX,Strong,0.30-0.34
26,SI1,-52,-53,-52,-49,-45,-46,-45,-45,-43,-41,EX,EX,EX,Strong,0.30-0.34
27,SI2,-52,-54,-51,-47,-45,-47,-43,-47,-45,-41,EX,EX,EX,Strong,0.30-0.34
28,IF,-57,-52,-51,-56,-58,-58,-57,-57,-52,-52,EX,EX,EX,Very Strong,0.30-0.34
29,VVS1,-54,-50,-49,-53,-56,-56,-56,-55,-51,-57,EX,EX,EX,Very Strong,0.30-0.34
30,VVS2,-55,-54,-53,-53,-55,-57,-57,-54,-51,-55,EX,EX,EX,Very Strong,0.30-0.34
31,VS1,-53,-56,-54,-52,-52,-54,-53,-51,-50,-50,EX,EX,EX,Very Strong,0.30-0.34
32,VS2,-57,-57,-55,-52,-51,-55,-53,-50,-51,-49,EX,EX,EX,Very Strong,0.30-0.34
33,SI1,-57,-58,-57,-54,-50,-51,-50,-50,-48,-46,EX,EX,EX,Very Strong,0.30-0.34
34,SI2,-57,-59,-56,-52,-50,-52,-48,-52,-50,-46,EX,EX,EX,Very Strong,0.30-0.34
35,IF,-59,-54,-53,-56,-57,-56,-55,-55,-50,-50,EX,DD,DD,Strong,0.30-0.34
36,VVS1,-56,-52,-51,-53,-55,-54,-54,-53,-49,-55,EX,DD,DD,Strong,0.30-0.34
37,VVS2,-57,-56,-55,-53,-54,-55,-55,-52,-49,-53,EX,DD,DD,Strong,0.30-0.34
38,VS1,-53,-56,-54,-51,-50,-51,-50,-48,-47,-47,EX,DD,DD,Strong,0.30-0.34
39,VS2,-57,-57,-55,-51,-49,-52,-50,-47,-48,-46,EX,DD,DD,Strong,0.30-0.34
40,SI1,-56,-57,-56,-51,-47,-48,-47,-47,-45,-43,EX,DD,DD,Strong,0.30-0.34
41,SI2,-56,-58,-55,-49,-47,-49,-45,-49,-47,-43,EX,DD,DD,Strong,0.30-0.34
42,IF,-44,-41,-41,-45,-46,-45,-44,-46,-41,-41,EX,DD,DD,None,0.30-0.34
43,VVS1,-41,-39,-39,-42,-44,-43,-43,-44,-40,-46,EX,DD,DD,None,0.30-0.34
44,VVS2,-42,-43,-43,-42,-43,-44,-44,-43,-40,-44,EX,DD,DD,None,0.30-0.34
45,VS1,-40,-45,-43,-41,-41,-42,-41,-40,-39,-39,EX,DD,DD,None,0.30-0.34
46,VS2,-44,-46,-44,-41,-40,-43,-41,-39,-40,-38,EX,DD,DD,None,0.30-0.34
47,SI1,-43,-46,-45,-41,-39,-40,-40,-40,-38,-36,EX,DD,DD,None,0.30-0.34
48,SI2,-43,-47,-44,-39,-39,-41,-38,-42,-40,-36,EX,DD,DD,None,0.30-0.34
49,IF,-51,-46,-46,-49,-50,-48,-47,-48,-43,-43,EX,DD,DD,Faint,0.30-0.34
50,VVS1,-48,-44,-44,-46,-48,-46,-46,-46,-42,-48,EX,DD,DD,Faint,0.30-0.34
51,VVS2,-49,-48,-48,-46,-47,-47,-47,-45,-42,-46,EX,DD,DD,Faint,0.30-0.34
52,VS1,-47,-50,-48,-45,-45,-45,-44,-42,-41,-41,EX,DD,DD,Faint,0.30-0.34
53,VS2,-51,-51,-49,-45,-44,-46,-44,-41,-42,-40,EX,DD,DD,Faint,0.30-0.34
