Size,Shape,EX,IF,VVS1,VVS2,VS1,VS2,SI1,SI2
1.50-1.599,PR,F,-22,-20,-20,-22,-22,-26,-27
1.50-1.599,PR,G,-21,-21,-20,-23,-23,-28,-28
1.50-1.599,PR,H,-21,-20,-20,-20,-20,-23,-27
1.50-1.599,PR,I,-17,-18,-17,-17,-18,-22,-25
1.50-1.599,PR,J,-20,-20,-23,-21,-21,-22,-22
1.50-1.599,PR,K,-21,-22,-22,-22,-23,-23,-23
1.50-1.599,PR,L,-25,-24,-24,-26,-26,-26,-26
1.50-1.599,PR,M,,,,,,,
,PR,,,,,,,,
1.60-1.699,PR,1.60-1.699,IF,VVS1,VVS2,VS1,VS2,SI1,SI2
1.60-1.699,PR,D,-32,-31,-31,-30,-28,-32,-31
1.60-1.699,PR,E,-29,-26,-25,-26,-26,-28,-29
1.60-1.699,PR,F,-25,-23,-23,-24,-24,-26,-27
1.60-1.699,PR,G,-24,-24,-23,-25,-25,-28,-28
1.60-1.699,PR,H,-24,-23,-23,-22,-22,-23,-27
1.60-1.699,PR,I,-20,-21,-20,-19,-20,-22,-25
1.60-1.699,PR,J,-23,-23,-26,-23,-23,-22,-22
1.60-1.699,PR,K,-24,-25,-25,-24,-25,-23,-23
1.60-1.699,PR,L,-28,-27,-27,-28,-28,-26,-26
1.60-1.699,PR,M,,,,,,,
,PR,,,,,,,,
1.70-1.799,PR,1.70-1.799,IF,VVS1,VVS2,VS1,VS2,SI1,SI2
1.70-1.799,PR,D,-15,-15,-16,-16,-17,-19,-20
1.70-1.799,PR,E,-18,-17,-16,-15,-18,-17,-22
1.70-1.799,PR,F,-15,-14,-13,-12,-14,-18,-20
1.70-1.799,PR,G,-13,-12,-12,-13,-14,-16,-18
1.70-1.799,PR,H,-14,-13,-13,-13,-13,-17,-17
1.70-1.799,PR,I,-12,-11,-11,-11,-12,-15,-17
1.70-1.799,PR,J,-16,-15,-15,-15,-16,-17,-20
1.70-1.799,PR,K,-16,-16,-16,-17,-17,-20,-22
1.70-1.799,PR,L,-18,-18,-18,-20,-20,-25,-26
1.70-1.799,PR,M,,,,,,,
,PR,,,,,,,,
1.80-1.899,PR,1.80-1.899,IF,VVS1,VVS2,VS1,VS2,SI1,SI2
1.80-1.899,PR,D,-14,-14,-15,-15,-11,-12,-13
1.80-1.899,PR,E,-13,-12,-12,-10,-9,-10,-12
1.80-1.899,PR,F,-11,-9,-9,-8,-8,-11,-12
1.80-1.899,PR,G,-9,-8,-8,-8,-9,-10,-11
1.80-1.899,PR,H,-10,-9,-9,-8,-8,-12,-13
