,Clarity,IF,VVS1,VVS2,VS1,VS2,SI1,SI2,Size,Shape
1512,F,,-38,-38,-38,-36,-43,-47,5.01-5.09,EMERALD
1513,G,,-38,-38,-38,-36,-41,-45,5.01-5.09,EMERALD
1514,H,,-39,-38,-36,-36,-41,-46,5.01-5.09,EMERALD
1515,I,,-39,-38,-37,-37,-40,-46,5.01-5.09,EMERALD
1516,J,,,,,,,,5.01-5.09,EMERALD
1517,K,,,,,,,,5.01-5.09,EMERALD
1518,L,,,,,,,,5.01-5.09,EMERALD
1519,M,,,,,,,,5.01-5.09,EMERALD
1520,D,-38,-38,-36,-35,-33,-33,-33,5.01-5.09,LONG RADIANT
1521,E,,-40,-39,-37,-35,-35,-33,5.01-5.09,LONG RADIANT
1522,F,,-40,-38,-37,-35,-33,-34,5.01-5.09,LONG RADIANT
1523,G,,-40,-37,-36,-36,-34,-34,5.01-5.09,LONG RADIANT
1524,H,,-39,-37,-36,-34,-33,-32,5.01-5.09,LONG RADIANT
1525,I,,-39,-37,-36,-34,-31,-31,5.01-5.09,LONG RADIANT
1526,J,,-35,-35,-33,-33,-30,-28,5.01-5.09,LONG RADIANT
1527,K,,-35,-35,-33,-33,-30,-28,5.01-5.09,LONG RADIANT
1528,L,,,,,,,,5.01-5.09,LONG RADIANT
1529,M,,,,,,,,5.01-5.09,LONG RADIANT
